"","ID","NoAuthors","NoCollaborations","Origin.Country","Int.Collab","Countries","journal"
"1","25557080",48,15,"Netherlands",2,"Netherlands,USA","cell"
"2","25557079",12,8,"USA",4,"USA,UK,Argentina,France","cell"
"3","25557078",2,2,"USA",1,"USA","cell"
"4","25543153",9,5,"USA",1,"USA","cell"
"5","25543152",9,5,"UK",2,"UK,Israel","cell"
"6","25542313",15,8,"USA",3,"USA,Austria,Canada","cell"
"7","25533786",11,8,"USA",1,"USA","cell"
"8","25533785",23,10,"Netherlands",2,"Netherlands,Sweden","cell"
"9","25533784",7,6,"USA",2,"USA,Canada","cell"
"10","25533783",10,5,"USA",1,"USA","cell"
"11","25525884",3,1,"India",1,"India","cell"
"12","25525883",16,6,"USA",2,"USA,Japan","cell"
"13","25525882",14,5,"Belgium",2,"Belgium,Germany","cell"
"14","25525881",7,6,"USA",1,"USA","cell"
"15","25525880",4,3,"Switzerland",1,"Switzerland","cell"
"16","25525879",9,3,"Australia",2,"Australia,USA","cell"
"17","25525878",17,12,"USA",1,"USA","cell"
"18","25525877",14,8,"USA",1,"USA","cell"
"19","25525876",26,16,"USA",4,"USA,UK,Canada,New Zealand","cell"
"20","25525875",15,9,"USA",2,"USA,Japan","cell"
"21","25525874",12,10,"Australia",2,"Australia,USA","cell"
"22","25525873",17,10,"Canada",4,"Canada,USA,Spain,UK","cell"
"23","25525872",3,3,"USA",2,"USA,UK","cell"
"24","25525871",2,2,"Germany",1,"Germany","cell"
"25","25525870",2,2,"USA",1,"USA","cell"
"26","25525869",2,2,"USA",1,"USA","cell"
"27","25525868",2,2,"China",1,"China","cell"
"28","25497548",12,10,"USA",2,"USA,Israel","cell"
"29","25497547",11,7,"USA",1,"USA","cell"
"30","25483777",31,15,"USA",5,"USA,Israel,Austria,China,Sweden","cell"
"31","25483776",15,8,"USA",2,"USA,China","cell"
"32","25480303",3,2,"USA",1,"USA","cell"
"33","25480302",7,5,"USA",1,"USA","cell"
"34","25480301",20,14,"Australia",3,"Australia,UK,USA","cell"
"35","25480300",4,2,"USA",1,"USA","cell"
"36","25480299",7,3,"Korea",2,"Korea,USA","cell"
"37","25480298",19,9,"Germany",4,"Germany,Spain,Portugal,Sweden","cell"
"38","25480297",11,4,"USA",3,"USA,Germany,UK","cell"
"39","25480296",8,5,"USA",2,"USA,Israel","cell"
"40","25480295",3,2,"USA",1,"USA","cell"
"41","25480294",10,7,"USA",2,"USA,NA","cell"
"42","25480293",15,8,"Portugal",4,"Portugal,USA,Australia,Mali","cell"
"43","25480292",4,4,"France",2,"France,USA","cell"
"44","25480291",1,1,"USA",1,"USA","cell"
"45","25480290",2,2,"UK",1,"UK","cell"
"46","25480289",2,2,"USA",1,"USA","cell"
"47","25480288",2,2,"USA",1,"USA","cell"
"48","25480287",4,1,"Germany",1,"Germany","cell"
"49","25480286",4,1,"USA",1,"USA","cell"
"50","25467445",15,8,"USA",3,"USA,China,Israel","cell"
"51","25467444",7,5,"USA",1,"USA","cell"
"52","25467443",16,4,"Germany",1,"Germany","cell"
"53","25433701",12,5,"USA",1,"USA","cell"
"54","25433700",18,9,"Austria",4,"Austria,UK,Germany,Norway","cell"
"55","25417168",5,3,"USA",1,"USA","cell"
"56","25417167",7,4,"USA",1,"USA","cell"
"57","25417166",4,4,"USA",1,"USA","cell"
"58","25417165",8,4,"Japan",1,"Japan","cell"
"59","25417164",6,3,"USA",1,"USA","cell"
"60","25417163",7,2,"USA",1,"USA","cell"
"61","25417162",8,5,"USA",1,"USA","cell"
"62","25417161",8,5,"USA",1,"USA","cell"
"63","25417160",6,3,"USA",1,"USA","cell"
"64","25417159",3,2,"USA",1,"USA","cell"
"65","25417158",10,6,"USA",1,"USA","cell"
"66","25417157",21,7,"USA",1,"USA","cell"
"67","25417156",13,6,"USA",2,"USA,UK","cell"
"68","25417155",16,10,"USA",4,"USA,Austria,UK,NA","cell"
"69","25417154",12,8,"Sweden",3,"Sweden,France,USA","cell"
"70","25417153",4,2,"USA",1,"USA","cell"
"71","25417152",4,4,"Australia",3,"Australia,USA,Denmark","cell"
"72","25417151",2,2,"Germany",1,"Germany","cell"
"73","25417150",1,1,"Belgium",1,"Belgium","cell"
"74","25417149",2,2,"USA",1,"USA","cell"
"75","25417148",1,1,"USA",1,"USA","cell"
"76","25417147",2,2,"USA",1,"USA","cell"
"77","25417146",15,15,"USA",2,"USA,Italy","cell"
"78","25417116",1,1,"USA",1,"USA","cell"
"79","25417115",11,5,"USA",1,"USA","cell"
"80","25417114",243,1,"USA",1,"USA","cell"
"81","25417113",10,6,"Netherlands",3,"Netherlands,USA,Germany","cell"
"82","25417112",7,4,"USA",1,"USA","cell"
"83","25417111",5,3,"USA",2,"USA,Japan","cell"
"84","25417110",9,4,"UK",2,"UK,USA","cell"
"85","25417109",11,10,"Japan",3,"Japan,USA,Australia","cell"
"86","25417108",8,4,"USA",2,"USA,Spain","cell"
"87","25417107",12,9,"China",2,"China,USA","cell"
"88","25417106",9,5,"USA",1,"USA","cell"
"89","25417105",10,4,"USA",1,"USA","cell"
"90","25417104",18,8,"Israel",1,"Israel","cell"
"91","25417103",14,8,"USA",2,"USA,Netherlands","cell"
"92","25417102",2,2,"USA",1,"USA","cell"
"93","25417101",2,2,"USA",1,"USA","cell"
"94","25417100",1,1,"USA",1,"USA","cell"
"95","25417099",2,2,"USA",1,"USA","cell"
"96","25417098",2,2,"Germany",1,"Germany","cell"
"97","25417097",3,3,"USA",1,"USA","cell"
"98","25416956",70,15,"USA",4,"USA,Canada,Belgium,Spain","cell"
"99","25416955",3,3,"USA",1,"USA","cell"
"100","25416954",8,5,"Germany",2,"Germany,Russia","cell"
"101","25416953",10,7,"USA",2,"USA,Israel","cell"
"102","25416952",6,4,"Germany",1,"Germany","cell"
"103","25416951",10,2,"USA",1,"USA","cell"
"104","25416950",16,8,"USA",1,"USA","cell"
"105","25416949",13,6,"USA",2,"USA,China","cell"
"106","25416948",7,4,"USA",1,"USA","cell"
"107","25416947",13,9,"France",1,"France","cell"
"108","25416946",10,5,"Spain",2,"Spain,USA","cell"
"109","25416945",10,5,"Germany",2,"Germany,France","cell"
"110","25416944",5,5,"USA",2,"USA,Switzerland","cell"
"111","25416943",4,2,"USA",1,"USA","cell"
"112","25416942",8,6,"USA",1,"USA","cell"
"113","25416941",1,1,"China",1,"China","cell"
"114","25416940",1,1,"Germany",1,"Germany","cell"
"115","25416939",1,1,"UK",1,"UK","cell"
"116","25416938",2,2,"USA",1,"USA","cell"
"117","25416937",1,1,"USA",1,"USA","cell"
"118","25416936",2,2,"USA",1,"USA","cell"
"119","25416935",2,2,"Israel",2,"Israel,USA","cell"
"120","25307933",5,4,"USA",1,"USA","cell"
